Вопрос;сложность;1 вариант ответа;2 вариант ответа;3 вариант ответа;4 вариант ответа;правильный вариант ответа
Кто был первым президентом США?;Новичок;Авраам Линкольн;Джордж Вашингтон;Томас Джефферсон;Барак Обама;Джордж Вашингтон
В каком году началась Вторая мировая война?;Новичок;1939;1941;1945;1937;1939
Когда была подписана Декларация независимости США?;Новичок;1776;1789;1800;1812;1776
Кто был последним императором России?;Новичок;Николай II;Петр I;Александр III;Лев Толстой;Николай II
Какое событие произошло в 1789 году во Франции?;Любитель;Французская революция;Американская революция;Промышленная революция;Гражданская война;Французская революция
Какой город был столицей Римской империи?;Любитель;Константинополь;Афины;Рим;Карфаген;Рим
Кто написал "Капитал"?;Эксперт;Карл Маркс;Фридрих Энгельс;Адам Смит;Джон Мейнард Кейнс;Карл Маркс
Когда была основана ООН?;Любитель;1945 год;1939 год;1950 год;1965 год;1945 год
Какое событие стало началом Реформации в Европе?;Эксперт;95 тезисов Мартина Лютера;Крестовые походы;Восстание крестьян в Германии;Сожжение еретиков;95 тезисов Мартина Лютера
Кто был основателем Монгольской империи?;Эксперт;Чингисхан;Тимур;Кублай-хан;Хубилай-хан;Чингисхан
Когда была подписана Magna Carta?;Эксперт;1215;1300;1400;1500;1215
Кто написал "Государство"?;Эксперт;Платон;Аристотель;Сократ;Пифагор;Платон
Какое государство было основным противником США в Холодной войне?;Любитель;Советский Союз;Китай;Индия;Япония;Советский Союз
Какой мирный договор завершил Первую мировую войну?;Эксперт;Версальский договор;Трианонский договор;Сен-Жерменский договор;Нейи-сюр-Сенский договор;Версальский договор
Кто был лидером Кубинской революции?;Эксперт;Фидель Кастро;Эрнесто Че Гевара;Мануэль Урибе Тапиа;Хосе Марти;Фидель Кастро
Когда состоялось сражение при Ватерлоо?;Эксперт;1815;1805;1789;1830;1815
Какой философ стал основоположником позитивизма?;Эксперт;Огюст Конт;Иммануил Кант;Фридрих Ницше;Джон Стюарт Милль;Огюст Конт
Какое событие произошло в 1066 году в Англии?;Эксперт;Нормандское завоевание Англии;Сражение при Азенкуре;Восстание баронов;Подписание Магна Карты;Нормандское завоевание Англии
Какой древний народ построил пирамиды в Египте?;Любитель;Древние египтяне;Месопотамцы;Греки;Римляне;Древние египтяне
Кто был первым человеком, совершившим кругосветное путешествие?;Эксперт;Фернан Магеллан;Кристофор Колумб;Васко да Гама;Джеймс Кук;Фернан Магеллан
Какой философ стал основоположником эмпиризма?;Эксперт;Фрэнсис Бэкон;Рене Декарт;Томас Гоббс;Джон Локк;Фрэнсис Бэкон
Какая империя была разрушена после падения Константинополя в 1453 году?;Любитель;Византийская империя;Римская империя;Мавританская империя;Османская империя;Византийская империя
Когда была основана Римская империя?;Любитель;27 год до н.э.;100 год до н.э.;1 год н.э.;50 год н.э.;27 год до н.э.
Какой конфликт стал предшественником Второй мировой войны?;Любитель;Первая мировая война;Холодная война;Крымская война;Война за независимость США;Первая мировая война
Кто был канцлером Германии во время Второй мировой войны?;Любитель;Адольф Гитлер;Оскар Шиндлер;Вильгельм II;Кайзер Франц-Иосиф;Адольф Гитлер
Какой документ положил начало Конституции США?;Эксперт;Декларация независимости;Билль о правах;Федералистские статьи;Пакт о федерации;Декларация независимости
Какой древний народ построил Великую стену в Китае?;Любитель;Древние китайцы;Монголы;Турки;Римляне;Древние китайцы
Какой город был столицей Римской империи?;Новичок;Рим;Афины;Константинополь;Карфаген;Рим
Когда была основана ООН?;Новичок;1945 год;1939 год;1950 год;1965 год;1945 год
Кто написал "Капитал"?;Любитель;Карл Маркс;Фридрих Энгельс;Адам Смит;Джон Мейнард Кейнс;Карл Маркс
Какое событие стало началом Реформации в Европе?;Любитель;95 тезисов Мартина Лютера;Крестовые походы;Восстание крестьян в Германии;Сожжение еретиков;95 тезисов Мартина Лютера
Какая страна стала основным противником США в Холодной войне?;Любитель;Советский Союз;Китай;Индия;Япония;Советский Союз
Что стало причиной начала Гражданской войны в США?;Любитель;Рабовладельческий вопрос;Торговые пошлины;Сепаратизм южных штатов;Военные конфликты с соседями;Рабовладельческий вопрос
Когда была подписана Magna Carta?;Любитель;1215;1300;1400;1500;1215
Кто был первым человеком, совершившим кругосветное путешествие?;Любитель;Фернан Магеллан;Кристофор Колумб;Васко да Гама;Джеймс Кук;Фернан Магеллан
Какой древний народ построил пирамиды в Египте?;Любитель;Древние египтяне;Месопотамцы;Греки;Римляне;Древние египтяне
Какой мирный договор завершил Первую мировую войну?;Любитель;Версальский договор;Трианонский договор;Сен-Жерменский договор;Нейи-сюр-Сенский договор;Версальский договор
Какой философ стал основоположником позитивизма?;Эксперт;Огюст Конт;Иммануил Кант;Фридрих Ницше;Джон Стюарт Милль;Огюст Конт
Когда был основан Рим?;Эксперт;753 год до н. э.;500 год до н. э.;300 год до н. э.;100 год до н. э.;753 год до н. э.
Кто был основателем Монгольской империи?;Эксперт;Чингисхан;Тимур;Кублай-хан;Хубилай-хан;Чингисхан
Какой документ положил начало Конституции США?;Эксперт;Декларация независимости;Билль о правах;Федералистские статьи;Пакт о федерации;Декларация независимости
Кто был лидером Кубинской революции?;Эксперт;Фидель Кастро;Эрнесто Че Гевара;Мануэль Урибе Тапиа;Хосе Марти;Фидель Кастро
Когда произошло Нормандское завоевание Англии?;Эксперт;1066;1200;1150;1300;1066
